held_out_class,pearson_log_r,pearson_log_p,spearman_r,spearman_p,n
cauctions,0.564925356842517,1.0839104365292719e-26,0.37941795559473684,1.0444690042553235e-11,300
facilities,0.6770791919899196,1.3993453909251223e-41,0.6334061386381086,4.734532905757932e-35,300
indset,0.5154065615823595,9.30037654244695e-22,0.41065703118019153,1.238122897730143e-13,300
setcover_valid,-0.09232806316998153,0.1105103506367953,-0.23695448381808304,3.3798250722175494e-05,300
