class,n_distance,median,mean,std,min,max,iqr,n_solver,median_scip_nodes,median_ml_nodes,median_degradation,mean_degradation,pct_ml_worse,pct_scip_limited,pct_ml_limited,failures
cauctions,100,2.0101500000000003,2.0101500000000003,0.0,2.0101500000000003,2.0101500000000003,0.0,100,11.0,125.0,12.295652173913044,14.521969167455383,1.0,0.0,0.0,0
facilities,100,3.000053921281258,3.000053921281258,0.0,3.000053921281258,3.000053921281258,0.0,100,84.0,480.0,5.382721116355428,10.81791202827224,0.97,0.02,0.07,0
indset,100,2.98985,2.98985,0.0,2.98985,2.98985,0.0,100,12.0,246.5,16.675324675324674,26.303441510909106,0.94,0.0,0.16,0
mknapsack,100,1.01015,1.01015,1.3756705068195783e-16,1.0101499999999997,1.0101500000000003,0.0,100,1967.5,3945.0,1.7171052631578947,1.967305338403435,0.85,0.11,0.2,0
setcover_valid,100,0.00291,0.0034031999999999717,0.0013378264295324676,0.0023699999999999,0.00885,0.0017200000000000002,100,91.0,199.0,2.3889724310776943,2.8260556933093044,0.8,0.0,0.0,0
