class,pearson_log_r,pearson_log_p,spearman_r,spearman_p,n,unique_distances
cauctions,,,,,100,1
facilities,,,,,100,1
indset,,,,,100,1
mknapsack,-0.04314620444869812,0.6699358287253214,-0.043957045474496526,0.6641040280671138,100,3
setcover_valid,0.11762744443536423,0.24380165541828605,0.04356145997169282,0.6669467175094218,100,12
