class,path,distance,scip_nodes,ml_nodes,degradation,scip_lps,ml_lps,scip_time,ml_time,scip_walltime,ml_walltime,scip_status,ml_status,scip_gap,ml_gap
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_023.lp,0.00433,65,211,3.246153846153846,257,413,3.55,4.16,3.9107828749984037,4.299788750009611,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_024.lp,0.0023699999999999997,820,674,0.8219512195121951,1182,946,5.84,9.17,6.423013666993938,7.970781167008681,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_025.lp,0.0035499999999999998,166,218,1.3132530120481927,399,423,3.92,4.07,4.193620125006419,3.745170624984894,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_026.lp,0.0023699999999999997,33,101,3.0606060606060606,167,265,2.21,2.0,2.3314172080135904,2.0749901670205873,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_027.lp,0.0035499999999999998,644,605,0.9394409937888198,990,1003,6.71,9.5,7.161274040990975,8.00017200000002,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_028.lp,0.00251,3,17,5.666666666666667,67,82,0.73,0.63,0.7745170840062201,0.669265207980061,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_029.lp,0.0034899999999999996,3,35,11.666666666666666,70,139,1.17,1.07,1.2397302500030492,1.11220441700425,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_030.lp,0.0029100000000000003,456,394,0.8640350877192983,731,781,5.21,6.59,5.513212500023656,6.2034406249877065,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_031.lp,0.00505,3,13,4.333333333333333,75,86,0.71,0.7,0.7607434579986148,0.7863233329844661,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_032.lp,0.00251,87,232,2.6666666666666665,315,404,3.13,4.03,3.3830726250016596,4.162172874988755,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_033.lp,0.00251,788,854,1.083756345177665,1138,1241,6.25,11.66,6.888905125000747,11.374709374998929,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_034.lp,0.0029100000000000003,11,49,4.454545454545454,114,231,1.82,1.72,1.9461490419926122,1.8257880000164732,optimal,optimal,0.0,0.0
