class,n,median,mean,std,min,max,iqr
cauctions,100,2.0101500000000003,2.0101500000000003,0.0,2.0101500000000003,2.0101500000000003,0.0
facilities,100,3.000053921281258,3.000053921281258,0.0,3.000053921281258,3.000053921281258,0.0
indset,100,2.98985,2.98985,0.0,2.98985,2.98985,0.0
setcover_valid,100,0.00291,0.0034031999999999717,0.0013378264295324676,0.0023699999999999,0.00885,0.0017200000000000002
